"relative_path","bytes","sha256"
"protocol/evrptw_fleet_policy.py","1170","D89213812E7365441D29182077921DA94D1FE2710F0ECD1DD0EAACBC350605B0"
"protocol/evrptw_v3_repair.py","16725","113BECF9308C07979AABB7D270CC6ACA9BFFD7F674B08F2417EA8E73F01304D3"
"protocol/feasibility_checker.py","26656","CB3CB4EDD21D9F915C2B7406CE3EEAFF99E004AB75DE2CBD5EB3C3ED11D6255C"
"protocol/fleet_compaction.py","8814","D17E37D15D2AD17621C55CACEE67601C827C3378548FAF1EADD82F7D60C3E949"
"protocol/instance_loader.py","10189","683A05152D51253FD533E83464723730F67995F8E331BDCADF55D8345D4AC189"
"protocol/parse_schneider_instance.py","7740","951FC2B738092BD9EC0D46CB28F2CB4E5B94942E6CFFAA4F16F76BE8EAAC30A6"
"protocol/routefinder_evrptw_repair_pipeline.py","34377","BE1D8A2C834697D2DFE6036E04E230908958590B83C965991C1810C3E9736521"
"protocol/run_week5_three_group_stability.ps1","30332","AA1CB0B7BB5DBD3236F309DC17755857EB5E5291B3560051409860A391D5C8B7"
"protocol/summarize_three_group_stability.py","39250","470DC8784CB6A028BEA34990440C14178A913EA92D34AABC766477385122FFF2"
"protocol/validate_stability_result.py","16453","B92376ABCB8BDDA6B7FADD7061702E3C6ECC167C9DF849D21EA0949D27519048"
"protocol/week5_three_group_stability.json","3921","8046CE2840EA77DED955EFDA92DD47A8E11407F0EAC7F520A56BC4621F258876"
"raw/batch_events.jsonl","88420","99060E79E295D8A326CC39C00A66CA1D69FF52A0379E008C102FFFA643A4DD02"
"raw/batch_index.json","29293","19A1D408D33EC9A0C6AA8918BB33D321AC396F420D300A0E96E0093D3FEF44DD"
"raw/runs/C/10/c101C10/pomo_repair/seed-0001/checker.json","3768","F3AFDAF2DADEFB6D3F598F49924BFFA757BE1A07A3A29B12A244186235D45C92"
"raw/runs/C/10/c101C10/pomo_repair/seed-0001/result.json","20301","7981178E1A0A25CC80CFD3671FB2EA5E9D64D3E4851F97FB0CBF1B5E2D38EF21"
"raw/runs/C/10/c101C10/pomo_repair/seed-0001/runner.json","4105","35C746D9DB37653D120F88C657C80F75D588B2E218D40B35139194377F4DAD36"
"raw/runs/C/10/c101C10/pomo_repair/seed-0001/stderr.log","22","1C33377AD542575B6EA6ABAFFD6DE31B94C0E669CC388CD7D2D2D3FF4E1D67E1"
"raw/runs/C/10/c101C10/pomo_repair/seed-0001/stdout.log","1760","8D8E5575AFF4D11F219EC8355ACAEC059728CA67597E5025A591F7BE3D68E9A2"
"raw/runs/C/10/c101C10/pyga_checked/seed-0001/checker.json","5074","8F309CDFCCBE406CC9D03B62525D2D41A871004E949BD786A7E09BC16636B8A2"
"raw/runs/C/10/c101C10/pyga_checked/seed-0001/pyga.csv","4930","2B8532AF2EA59D89740D21CAB82F4E800BD173554B3D4F947352C11BF26978F6"
"raw/runs/C/10/c101C10/pyga_checked/seed-0001/pyga.log","9127","84B4FB0598C8EAFC20B6B5CE754F5D32AE575C1E43F941373508A2C45BF09E9C"
"raw/runs/C/10/c101C10/pyga_checked/seed-0001/result.json","58872","F8BD3AE53B957F728B5B96102A4E779A876F0E84264BF5DC8D33FDA00E495D8F"
"raw/runs/C/10/c101C10/pyga_checked/seed-0001/runner.json","4819","5838EF8091FB079C3339AAB4077261C4310A4C2A17B844D817C51EC802A2C3A0"
"raw/runs/C/10/c101C10/pyga_checked/seed-0001/stderr.log","22","1C33377AD542575B6EA6ABAFFD6DE31B94C0E669CC388CD7D2D2D3FF4E1D67E1"
"raw/runs/C/10/c101C10/pyga_checked/seed-0001/stdout.log","1482","ED360E60AD56E3EC964DE4BC7378E84477516212C4D83A31C763E1D2EACC8684"
"raw/runs/C/10/c101C10/pyvrp_repair/seed-0001/checker.json","3303","4F9D476EAFC8A52D65ADB075DB8CCB290014853368CC2903445FDD936243D9CA"
"raw/runs/C/10/c101C10/pyvrp_repair/seed-0001/result.json","12548","20FC6629003ED60986A50FECB860761FDDB3EE8031F27683F84E49B5EF80DD46"
"raw/runs/C/10/c101C10/pyvrp_repair/seed-0001/runner.json","4082","597FED1BCD1F68A44227F088BCB5310B3B9108BC7A2B403F15B39A75368EEDE6"
"raw/runs/C/10/c101C10/pyvrp_repair/seed-0001/stderr.log","22","1C33377AD542575B6EA6ABAFFD6DE31B94C0E669CC388CD7D2D2D3FF4E1D67E1"
"raw/runs/C/10/c101C10/pyvrp_repair/seed-0001/stdout.log","866","03F4FE77729DD7DAD1E0A9BE0C86AFB5866C36A15FB33FF5BF0765E1E560D82B"
"raw/runs/C/10/c101C10/routefinder_repair/seed-0001/checker.json","3816","2B904CED214D9E4AEAAA40467531B3AC9A418734784F69C7F8381FC7A41D4C75"
"raw/runs/C/10/c101C10/routefinder_repair/seed-0001/result.json","19710","ADADD72A190117B053F36095E2C27E8EE6E6B444AB78873AFFCDD901A32B0B44"
"raw/runs/C/10/c101C10/routefinder_repair/seed-0001/runner.json","4715","0A00F3D27B363BF7F63FC01E33C1C4D8276659B74FF3CD84991C8D0D590CAD75"
"raw/runs/C/10/c101C10/routefinder_repair/seed-0001/stderr.log","183","6477F5C1BCC021EC02A50C310CD6B819A8190BBEBED9C9FB44E5233705DF2E8F"
"raw/runs/C/10/c101C10/routefinder_repair/seed-0001/stdout.log","1226","0BBCA43774CEFB2E4B68BFD1F4715046F2756E35D6104791E9C2055BAB9D45CE"
"raw/runs/C/10/c101C10/vns_ts/seed-0001/checker.json","3293","437C48B6DEFA34A8326DBFD456E5F575074B44E9CB338362606ED52656ABB973"
"raw/runs/C/10/c101C10/vns_ts/seed-0001/result.json","324788","5BD917D87F453BF1D0E4CF9F19548B2B295650FD78A4253CCE713DD55C426991"
"raw/runs/C/10/c101C10/vns_ts/seed-0001/runner.json","4074","B9D70195B773DC64C86FFBED393BC5397941CAD056C9432B59BEE5826E07E1C6"
"raw/runs/C/10/c101C10/vns_ts/seed-0001/stderr.log","22","1C33377AD542575B6EA6ABAFFD6DE31B94C0E669CC388CD7D2D2D3FF4E1D67E1"
"raw/runs/C/10/c101C10/vns_ts/seed-0001/stdout.log","35218","AEA7CA3F4EAF65A46526937D752BA34972F4B06FE9D23416E24EB8DF18F2F5CF"
"raw/runs/C/15/c103C15/pomo_repair/seed-0001/checker.json","4067","5078AD301EAAB4D357A3302C6A3C5D2E53F7778E5BAA625A9D6FC1929BF85102"
"raw/runs/C/15/c103C15/pomo_repair/seed-0001/result.json","24233","CEFA8B92B881B0FA4DDE63F745227252807A76EFE30D75B6197E8EDE0258076D"
"raw/runs/C/15/c103C15/pomo_repair/seed-0001/runner.json","4105","418FE855AEF27B328BB473C99604871527E81E104DC2A4CD8B33F34A27B22798"
"raw/runs/C/15/c103C15/pomo_repair/seed-0001/stderr.log","22","1C33377AD542575B6EA6ABAFFD6DE31B94C0E669CC388CD7D2D2D3FF4E1D67E1"
"raw/runs/C/15/c103C15/pomo_repair/seed-0001/stdout.log","1454","C84799E9345131549C88E4F8CD7B62FCB50846DB8AC7FC0267B2C86B4942665A"
"raw/runs/C/15/c103C15/pyga_checked/seed-0001/checker.json","5796","A16861D9A442AB5521413049406D54BFF307A2D0BD4FFA57F92C83B69B7D8218"
"raw/runs/C/15/c103C15/pyga_checked/seed-0001/pyga.csv","4934","1563D072DB8169BEB3ADE8AAEADEB7F965205CF978C9EA44ECFC9A108AB43999"
"raw/runs/C/15/c103C15/pyga_checked/seed-0001/pyga.log","9148","0590C2C93577726453720AE5FAE433BD7A0BA3F45D357B78A742E03CEAD08B9C"
"raw/runs/C/15/c103C15/pyga_checked/seed-0001/result.json","61492","EA7870FC9A4FD054E8B76B1484E7ACF1E5C9DE3C412F193A60937FE574D63EF7"
"raw/runs/C/15/c103C15/pyga_checked/seed-0001/runner.json","4819","C5B07DF745468FB0944A1577CE6A1FAD28A46E7DA8F425933F1F90894A3413DF"
"raw/runs/C/15/c103C15/pyga_checked/seed-0001/stderr.log","22","1C33377AD542575B6EA6ABAFFD6DE31B94C0E669CC388CD7D2D2D3FF4E1D67E1"
"raw/runs/C/15/c103C15/pyga_checked/seed-0001/stdout.log","2056","3288DBA9EC1EB862DE278E96EE2C472E779B7FFDD58260DFC7345391F179B026"
"raw/runs/C/15/c103C15/pyvrp_repair/seed-0001/checker.json","3804","DB8116CFD5DCD4C6BDC01000E817B3B8CF3F17A5AD947EEFD3D9A367523522F1"
