C101_20

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
 
    0        40         50          0          0       1236          0
    5        42         65         10         15         67         90
   22        28         52         20        812        883         90
   31        10         35         20        200        237         90
   35         5         35         10        283        344         90
   36         5         45         10        665        716         90
   37         2         40         20        383        434         90
   50        26         32         10        815        880         90
   52        25         35         10        912        969         90
   56        40          5         30        385        436         90
   58        38          5         30        471        534         90
   59        38         15         10        651        740         90
   61        50         30         10        531        610         90
   64        48         30         10        632        693         90
   66        47         35         10        826        875         90
   68        45         30         10        734        777         90
   75        45         65         20        997       1068         90
   88        65         60         30        645        708         90
   89        63         58         10        737        802         90
   90        60         55         10         20         84         90
   99        55         80         10        743        820         90
